2022-07-06 13:17:50	[33mWARN[0m	middlewares/logger.go:68	HTTP Warning 422	{"status": 422, "request": "POST /v1/auth/signup/phone/exist", "query": "", "ip": "::1", "user-agent": "PostmanRuntime/7.29.0", "errors": "", "time": "6.130ms", "Request Body": "{\n    \"phone\":\"123\"\n}", "Response Body": "{\"err\":{\"phone\":[\"手机号长度必须为 11 位的数字\"]}}"}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:235	Database Query	{"sql": "SELECT DATABASE()", "time": "0.374ms", "rows": -1}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:238	Database Query	{"sql": "SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'gohub%' ORDER BY SCHEMA_NAME='gohub' DESC limit 1", "time": "4.438ms", "rows": 1}
2022-07-06 16:52:09	[35mDEBUG[0m	bootstrap/database.go:52	Database Query	{"sql": "SELECT count(*) FROM information_schema.tables WHERE table_schema = 'gohub' AND table_name = 'users' AND table_type = 'BASE TABLE'", "time": "1.567ms", "rows": -1}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:235	Database Query	{"sql": "SELECT DATABASE()", "time": "0.191ms", "rows": -1}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:238	Database Query	{"sql": "SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'gohub%' ORDER BY SCHEMA_NAME='gohub' DESC limit 1", "time": "0.766ms", "rows": 1}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:148	Database Query	{"sql": "SELECT * FROM `users` LIMIT 1", "time": "0.825ms", "rows": -1}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:166	Database Query	{"sql": "SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'gohub' AND table_name = 'users' ORDER BY ORDINAL_POSITION", "time": "2.509ms", "rows": -1}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:235	Database Query	{"sql": "SELECT DATABASE()", "time": "0.156ms", "rows": -1}
2022-07-06 16:52:09	[35mDEBUG[0m	mysql@v1.3.4/migrator.go:238	Database Query	{"sql": "SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'gohub%' ORDER BY SCHEMA_NAME='gohub' DESC limit 1", "time": "0.721ms", "rows": 1}
2022-07-06 16:52:09	[35mDEBUG[0m	bootstrap/database.go:52	Database Query	{"sql": "SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'gohub' AND table_name = 'users' AND index_name = 'idx_users_created_at'", "time": "1.113ms", "rows": -1}
